codusu,nro_hogar,edad,ingreso,varon,mujer,con_pareja,sin_pareja,si_cobertura,no_cobertura,prim_inc,prim_com,sec_inc,sec_com,uni_inc,uni_comp,sin_instrucc,estado_desocupado,estado_inactivo,estado_menor de 10 años,estado_no respuesta,estado_ocupado,inactividad_ama de casa,inactividad_discapacitado,inactividad_estudiante,inactividad_jubilado/pensionado,inactividad_menor de 6 años,inactividad_otros,inactividad_rentista,realizada,trimestre,region,mas_500,aglomerado,pondera,iv1,iv5,iv12_1,iv12_2,iv12_3,ii1,ii2,ii3,ii7,v1,v2,v21,v22,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19_a,v19_b,itf,decifr,rdecifr,gdecifr,adecifr,deccfr,rdeccfr,gdeccfr,adeccfr,vii1_1,vii1_2,vii2_1,vii2_2,vii2_3,vii2_4,componente,ch09,ch10,ch11,ch12,ch13,ch15,ch16,estado,cat_ocup,pp02c1,pp02c2,pp02c3,pp02c4,pp02c5,pp02c6,pp02c7,pp02c8,pp02e,pp02h,pp02i,decocur,rdecocur,gdecocur,adecocur,desocupado,proporcion_trabajando,total_personas,tasa_parcial,prom_edad_hogar
TQSMNORWVHLLKQCDEIJAH00856914,1.0,26,500000.0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,S,33,2368.0,1,1,2,2,2,4,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,500000.0,6,5,5.0,6,9,9,9.0,9,1,0,98,0,0,0,1,1,2,0,7,1,1,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,9,8,9.0,9,0,1.0,1,0,26.0
TQRMNOPTWHJLQRCDEIJAH00795141,1.0,66,1620000.0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,S,33,1682.0,1,1,2,2,2,7,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1620000.0,10,10,10.0,10,10,10,10.0,10,1,0,98,0,0,0,1,1,2,0,7,1,1,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,10,10,10.0,10,0,1.0,1,0,66.0
TQRMNOTPRHMOQQCDEIJAH00807721,1.0,56,350000.0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,S,33,1494.0,1,1,2,2,2,3,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,350000.0,4,4,4.0,4,8,8,8.0,9,1,0,98,0,0,0,1,1,2,0,2,1,3,1,1.0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,5.0,5,0,1.0,1,0,56.0
TQRMNOPWQHMKRLCDEIJAH00801957,1.0,61,135000.0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,S,33,590.0,1,1,2,1,2,3,1,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,135000.0,1,1,1.0,1,4,4,4.0,4,1,0,98,0,0,0,1,1,2,0,4,2,1,1,3.0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0.0,1,0,61.0
TQRMNOPPYHJMTRCDEIJAH00793353,1.0,77,160000.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,S,33,1299.0,1,1,2,2,2,3,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,320000.0,3,3,3.0,4,5,4,4.0,5,1,2,98,0,0,0,1,1,2,0,2,2,3,1,3.0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0.0,2,0,78.5
TQRMNOPPYHJMTRCDEIJAH00793353,1.0,77,160000.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,S,33,1299.0,1,1,2,2,2,3,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,320000.0,3,3,3.0,4,5,4,4.0,5,1,2,98,0,0,0,2,1,2,0,2,2,3,1,3.0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0.0,2,0,78.5
TQRMNOPPYHJMTRCDEIJAH00793353,1.0,80,160000.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,S,33,1299.0,1,1,2,2,2,3,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,320000.0,3,3,3.0,4,5,4,4.0,5,1,2,98,0,0,0,1,1,2,0,2,2,3,1,3.0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0.0,2,0,78.5
TQRMNOPPYHJMTRCDEIJAH00793353,1.0,80,160000.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,S,33,1299.0,1,1,2,2,2,3,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,320000.0,3,3,3.0,4,5,4,4.0,5,1,2,98,0,0,0,2,1,2,0,2,2,3,1,3.0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0.0,2,0,78.5
TQRMNORWVHJMOLCDEIJAH00794542,1.0,78,292500.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,S,33,1143.0,1,1,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,585000.0,6,6,6.0,7,7,7,7.0,8,1,0,98,0,0,0,1,1,2,0,2,1,4,1,3.0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0.0,2,0,76.5
TQRMNORWVHJMOLCDEIJAH00794542,1.0,78,292500.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,S,33,1143.0,1,1,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,585000.0,6,6,6.0,7,7,7,7.0,8,1,0,98,0,0,0,2,1,2,0,2,1,1,1,3.0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0.0,2,0,76.5
TQRMNORWVHJMOLCDEIJAH00794542,1.0,75,292500.0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,S,33,1143.0,1,1,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,585000.0,6,6,6.0,7,7,7,7.0,8,1,0,98,0,0,0,1,1,2,0,2,1,4,1,3.0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0.0,2,0,76.5
TQRMNORWVHJMOLCDEIJAH00794542,1.0,75,292500.0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,S,33,1143.0,1,1,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,585000.0,6,6,6.0,7,7,7,7.0,8,1,0,98,0,0,0,2,1,2,0,2,1,1,1,3.0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0.0,2,0,76.5
TQRMNOPYXHKNNUCDEIJAH00856906,1.0,62,131750.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,S,33,1364.0,1,1,2,1,2,4,4,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,527000.0,6,6,6.0,6,4,3,4.0,4,2,0,98,0,0,0,1,1,2,0,2,1,3,1,1.0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,4.0,4,0,0.75,4,0,40.25
TQRMNOPYXHKNNUCDEIJAH00856906,1.0,62,131750.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,S,33,1364.0,1,1,2,1,2,4,4,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,527000.0,6,6,6.0,6,4,3,4.0,4,2,0,98,0,0,0,2,1,2,0,2,1,3,1,1.0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2.0,2,0,0.75,4,0,40.25
TQRMNOPYXHKNNUCDEIJAH00856906,1.0,62,131750.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,S,33,1364.0,1,1,2,1,2,4,4,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,527000.0,6,6,6.0,6,4,3,4.0,4,2,0,98,0,0,0,3,1,1,2,6,2,1,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,2,0,0.75,4,0,40.25
TQRMNOPYXHKNNUCDEIJAH00856906,1.0,62,131750.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,S,33,1364.0,1,1,2,1,2,4,4,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,527000.0,6,6,6.0,6,4,3,4.0,4,2,0,98,0,0,0,4,1,1,2,4,2,1,1,3.0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0.75,4,0,40.25
TQRMNOPYXHKNNUCDEIJAH00856906,1.0,58,131750.0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,S,33,1364.0,1,1,2,1,2,4,4,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,527000.0,6,6,6.0,6,4,3,4.0,4,2,0,98,0,0,0,1,1,2,0,2,1,3,1,1.0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,4.0,4,0,0.75,4,0,40.25
TQRMNOPYXHKNNUCDEIJAH00856906,1.0,58,131750.0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,S,33,1364.0,1,1,2,1,2,4,4,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,527000.0,6,6,6.0,6,4,3,4.0,4,2,0,98,0,0,0,2,1,2,0,2,1,3,1,1.0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2.0,2,0,0.75,4,0,40.25
TQRMNOPYXHKNNUCDEIJAH00856906,1.0,58,131750.0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,S,33,1364.0,1,1,2,1,2,4,4,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,527000.0,6,6,6.0,6,4,3,4.0,4,2,0,98,0,0,0,3,1,1,2,6,2,1,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,2,0,0.75,4,0,40.25
TQRMNOPYXHKNNUCDEIJAH00856906,1.0,58,131750.0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,S,33,1364.0,1,1,2,1,2,4,4,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,527000.0,6,6,6.0,6,4,3,4.0,4,2,0,98,0,0,0,4,1,1,2,4,2,1,1,3.0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.0,0,0,0.75,4,0,40.25
TQRMNOPYXHKNNUCDEIJAH00856906,1.0,26,131750.0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,S,33,1364.0,1,1,2,1,2,4,4,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,527000.0,6,6,6.0,6,4,3,4.0,4,2,0,98,0,0,0,1,1,2,0,2,1,3,1,1.0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,4.0,4,0,0.75,4,0,40.25
TQRMNOPYXHKNNUCDEIJAH00856906,1.0,26,131750.0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,S,33,1364.0,1,1,2,1,2,4,4,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,527000.0,6,6,6.0,6,4,3,4.0,4,2,0,98,0,0,0,2,1,2,0,2,1,3,1,1.0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2.0,2,0,0.75,4,0,40.25
TQRMNOPYXHKNNUCDEIJAH00856906,1.0,26,131750.0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,S,33,1364.0,1,1,2,1,2,4,4,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,527000.0,6,6,6.0,6,4,3,4.0,4,2,0,98,0,0,0,3,1,1,2,6,2,1,1,1.0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,2,0,0.75,4,0,40.25
